weather_id,site_id,weather_date,avg_temperature_c,wind_speed_mps,solar_irradiance_kwh_m2,rainfall_mm
W00471,S002,2024-04-14,14.29,5.71,2.68,0
W00472,S002,2024-04-15,15.53,4.08,3.45,5.72
W00473,S002,2024-04-16,20.16,2.55,3.04,3.25
W00474,S002,2024-04-17,15.76,5.9,2.23,0
W00475,S002,2024-04-18,21.69,4.9,2.32,0
W00476,S002,2024-04-19,17.1,3.12,3.22,6.31
W00477,S002,2024-04-20,17.87,4.07,3.51,0.59
W00478,S002,2024-04-21,17.27,5.23,3.33,0
W00479,S002,2024-04-22,11.37,3.34,3.82,6.2
W00480,S002,2024-04-23,4.58,5.77,3.32,0
W00481,S002,2024-04-24,24.58,5.53,4.93,0
W00482,S002,2024-04-25,12.1,9.48,3.07,0
W00483,S002,2024-04-26,14.1,4.22,2.69,9.73
W00484,S002,2024-04-27,15.55,3.89,4.68,2.44
W00485,S002,2024-04-28,21.88,7.03,3.64,5.85
W00486,S002,2024-04-29,16.79,5.53,4.08,6.81
W00487,S002,2024-04-30,15.15,6.0,3.92,0
W00488,S002,2024-05-01,16.69,8.3,4.1,7.52
W00489,S002,2024-05-02,24.58,2.29,5.38,2.1
W00490,S002,2024-05-03,12.71,4.83,5.06,4.02
W00491,S002,2024-05-04,11.42,4.78,2.55,9.43
W00492,S002,2024-05-05,19.58,5.19,4.28,0
W00493,S002,2024-05-06,17.62,5.37,5.35,0.31
W00494,S002,2024-05-07,12.45,3.3,5.2,4.7
W00495,S002,2024-05-08,16.16,4.32,5.28,2.94
W00496,S002,2024-05-09,24.14,8.12,5.8,4.96
W00497,S002,2024-05-10,20.07,7.32,4.02,0
W00498,S002,2024-05-11,17.71,3.19,6.68,0
W00499,S002,2024-05-12,18.1,6.68,5.65,5.47
W00500,S002,2024-05-13,10.74,4.74,6.49,8.89
W00501,S002,2024-05-14,16.42,7.34,4.88,4.95
W00502,S002,2024-05-15,12.79,6.45,5.14,6.54
W00503,S002,2024-05-16,11.47,6.64,4.82,2.48
W00504,S002,2024-05-17,10.41,5.65,4.73,0
W00505,S002,2024-05-18,22.08,2.0,5.75,0
W00506,S002,2024-05-19,16.69,6.76,4.97,3.81
W00507,S002,2024-05-20,22.77,6.47,4.6,2.14
W00508,S002,2024-05-21,17.58,4.2,4.24,0
W00509,S002,2024-05-22,21.55,3.59,4.95,4.77
W00510,S002,2024-05-23,15.56,5.71,5.33,2.9
W00511,S002,2024-05-24,16.84,4.16,5.1,4.47
W00512,S002,2024-05-25,10.61,5.02,5.59,1.01
W00513,S002,2024-05-26,12.08,7.16,4.91,0.9
W00514,S002,2024-05-27,11.37,7.04,4.83,6.73
W00515,S002,2024-05-28,10.93,2.51,4.08,0
W00516,S002,2024-05-29,23.97,4.91,6.03,5.67
W00517,S002,2024-05-30,18.74,5.12,5.67,0
W00518,S002,2024-05-31,12.33,2.21,4.43,0
W00519,S002,2024-06-01,22.21,6.65,5.15,4.97
W00520,S002,2024-06-02,16.31,4.77,4.73,3.67
W00521,S002,2024-06-03,14.27,6.94,5.42,1.02
W00522,S002,2024-06-04,21.0,5.36,6.24,1.23
W00523,S002,2024-06-05,11.54,4.52,3.78,0
W00524,S002,2024-06-06,5.61,4.2,4.23,5.83
W00525,S002,2024-06-07,16.66,6.25,2.27,4.76
W00526,S002,2024-06-08,11.78,3.1,4.76,4.35
W00527,S002,2024-06-09,17.06,6.63,3.9,0
W00528,S002,2024-06-10,20.95,2.91,4.77,0
W00529,S002,2024-06-11,19.79,5.34,4.53,0
W00530,S002,2024-06-12,17.94,4.71,5.28,0.31
W00531,S002,2024-06-13,14.51,1.56,4.94,4.47
W00532,S002,2024-06-14,15.45,6.17,4.86,3.57
W00533,S002,2024-06-15,19.16,6.11,4.53,0
W00534,S002,2024-06-16,21.52,1.98,5.53,0
W00535,S002,2024-06-17,19.91,4.28,3.97,6.86
W00536,S002,2024-06-18,14.53,3.7,3.76,2.85
W00537,S002,2024-06-19,14.38,4.42,5.52,2.64
W00538,S002,2024-06-20,14.52,5.19,5.27,5.05
W00539,S002,2024-06-21,17.14,3.64,4.93,4.33
W00540,S002,2024-06-22,16.16,9.79,4.75,1.54
W00541,S002,2024-06-23,20.54,4.95,4.4,0
W00542,S002,2024-06-24,10.03,5.88,3.21,12.12
W00543,S002,2024-06-25,11.24,4.42,4.77,1.81
W00544,S002,2024-06-26,18.34,6.12,4.99,6.84
W00545,S002,2024-06-27,17.62,5.52,4.44,7.27
W00546,S002,2024-06-28,10.13,2.56,3.63,8.46
W00547,S002,2024-06-29,13.47,4.28,5.38,10.44
W00548,S002,2024-06-30,19.18,3.45,3.65,4.08
W00549,S002,2024-07-01,13.12,2.19,3.97,0.03
W00550,S002,2024-07-02,17.12,6.39,4.61,0
W00551,S002,2024-07-03,6.12,4.93,4.0,0
W00552,S002,2024-07-04,19.13,5.65,4.66,1.31
W00553,S002,2024-07-05,9.88,6.51,2.84,3.54
W00554,S002,2024-07-06,3.54,8.32,4.85,1.92
W00555,S002,2024-07-07,17.99,5.52,6.67,3.68
W00556,S002,2024-07-08,11.35,4.84,5.81,4.86
W00557,S002,2024-07-09,4.7,5.05,4.78,7.54
W00558,S002,2024-07-10,14.32,5.84,3.77,0
W00559,S002,2024-07-11,19.41,4.27,6.75,5.79
W00560,S002,2024-07-12,17.04,5.07,5.67,7.88
W00561,S002,2024-07-13,20.39,4.85,3.56,1.24
W00562,S002,2024-07-14,10.86,7.03,6.3,6.43
W00563,S002,2024-07-15,23.21,5.86,4.56,6.38
W00564,S002,2024-07-16,7.47,6.84,4.63,8.66
W00565,S002,2024-07-17,13.94,6.29,4.9,1.12
W00566,S002,2024-07-18,19.45,5.83,4.36,2.38
W00567,S002,2024-07-19,13.71,2.83,6.4,0
W00568,S002,2024-07-20,17.98,6.13,5.63,1.52
W00569,S002,2024-07-21,17.53,2.46,3.96,4.51
W00570,S002,2024-07-22,18.29,9.0,4.9,1.55
W00571,S002,2024-07-23,14.75,1.97,3.4,0
W00572,S002,2024-07-24,11.53,2.31,5.52,8.58
W00573,S002,2024-07-25,19.14,5.15,4.62,11.72
W00574,S002,2024-07-26,17.39,2.69,5.43,7.79
W00575,S002,2024-07-27,13.58,9.54,6.09,0
W00576,S002,2024-07-28,20.77,2.53,5.41,5.21
W00577,S002,2024-07-29,12.91,4.05,4.69,6.32
W00578,S002,2024-07-30,12.08,4.82,6.01,0
W00579,S002,2024-07-31,15.46,3.9,4.03,9.72
W00580,S002,2024-08-01,9.96,1.72,4.13,0
W00581,S002,2024-08-02,16.71,4.12,5.12,1.34
W00582,S002,2024-08-03,9.13,6.35,3.46,0
W00583,S002,2024-08-04,13.09,3.95,6.06,0
W00584,S002,2024-08-05,11.96,4.37,4.81,7.92
W00585,S002,2024-08-06,15.93,3.82,5.85,0
W00586,S002,2024-08-07,17.24,1.92,5.96,0
W00587,S002,2024-08-08,13.79,5.35,4.1,0
W00588,S002,2024-08-09,24.17,3.33,3.68,2.1
W00589,S002,2024-08-10,14.19,5.87,5.18,3.21
W00590,S002,2024-08-11,13.91,4.3,5.0,7.86
W00591,S002,2024-08-12,15.72,3.19,5.61,3.67
W00592,S002,2024-08-13,7.55,7.07,5.5,0
W00593,S002,2024-08-14,10.85,9.9,6.08,8.31
W00594,S002,2024-08-15,19.89,3.67,5.07,0
W00595,S002,2024-08-16,13.38,2.94,6.01,1.98
W00596,S002,2024-08-17,12.07,5.08,6.26,3.89
W00597,S002,2024-08-18,20.27,8.7,5.48,9.66
W00598,S002,2024-08-19,17.27,5.7,5.66,5.72
W00599,S002,2024-08-20,19.95,5.86,3.65,1.69
W00600,S002,2024-08-21,15.17,5.18,3.19,12.31
W00601,S002,2024-08-22,19.04,4.35,4.67,0
W00602,S002,2024-08-23,12.93,4.94,4.76,11.16
W00603,S002,2024-08-24,6.86,3.29,3.11,8.69
W00604,S002,2024-08-25,18.28,4.17,5.73,9.19
W00605,S002,2024-08-26,22.73,3.78,5.52,5.4
W00606,S002,2024-08-27,15.85,4.45,3.43,2.18
W00607,S002,2024-08-28,25.68,5.26,5.64,6.89
W00608,S002,2024-08-29,23.17,3.42,6.23,0
W00609,S002,2024-08-30,16.02,4.87,4.42,6.1
W00610,S002,2024-08-31,13.94,4.91,4.38,3.41
W00611,S002,2024-09-01,14.89,5.66,3.65,1.59
W00612,S002,2024-09-02,22.36,9.64,3.0,3.86
W00613,S002,2024-09-03,17.67,4.49,4.78,1.56
W00614,S002,2024-09-04,12.44,5.54,2.46,0
W00615,S002,2024-09-05,13.62,3.86,2.01,1.12
W00616,S002,2024-09-06,17.1,7.43,4.31,1.05
W00617,S002,2024-09-07,12.07,8.66,3.78,2.81
W00618,S002,2024-09-08,10.27,5.5,4.51,5.93
W00619,S002,2024-09-09,15.26,3.67,4.58,9.58
W00620,S002,2024-09-10,14.34,4.96,3.94,12.84
W00621,S002,2024-09-11,23.0,3.04,4.01,1.64
W00622,S002,2024-09-12,22.9,2.75,4.14,7.06
W00623,S002,2024-09-13,19.76,5.44,1.44,1.54
W00624,S002,2024-09-14,21.88,5.95,4.04,0.04
W00625,S002,2024-09-15,16.72,4.74,3.69,0
W00626,S002,2024-09-16,18.83,7.18,3.59,0
W00627,S002,2024-09-17,9.68,6.47,3.83,1.04
W00628,S002,2024-09-18,17.54,6.53,2.87,8.5
W00629,S002,2024-09-19,18.75,5.08,2.31,0
W00630,S002,2024-09-20,21.99,6.78,3.25,0
W00631,S002,2024-09-21,26.95,2.95,2.65,0
W00632,S002,2024-09-22,18.63,3.75,1.87,3.21
W00633,S002,2024-09-23,18.32,4.75,3.28,5.72
W00634,S002,2024-09-24,16.59,3.8,3.23,0.98
W00635,S002,2024-09-25,12.86,4.8,1.74,5.72
W00636,S002,2024-09-26,13.35,2.3,2.19,2.72
W00637,S002,2024-09-27,19.48,6.3,2.91,0
W00638,S002,2024-09-28,17.7,2.25,2.64,11.58
W00639,S002,2024-09-29,15.31,1.85,4.5,12.63
W00640,S002,2024-09-30,13.94,2.83,2.85,0
W00641,S002,2024-10-01,19.0,4.44,2.54,9.6
W00642,S002,2024-10-02,23.3,5.98,3.47,0
W00643,S002,2024-10-03,16.24,5.98,3.83,10.15
W00644,S002,2024-10-04,10.13,3.32,2.69,2.1
W00645,S002,2024-10-05,21.98,5.46,4.21,3.04
W00646,S002,2024-10-06,9.82,7.41,3.68,4.5
W00647,S002,2024-10-07,11.49,5.89,4.98,5.07
W00648,S002,2024-10-08,19.28,5.0,3.77,0.51
W00649,S002,2024-10-09,17.18,5.56,3.72,0
W00650,S002,2024-10-10,15.24,1.94,2.2,0
W00651,S002,2024-10-11,4.07,6.21,2.92,4.09
W00652,S002,2024-10-12,14.14,3.66,3.75,3.48
W00653,S002,2024-10-13,16.53,2.8,3.72,0
W00654,S002,2024-10-14,17.48,1.64,3.54,15.34
W00655,S002,2024-10-15,17.96,7.62,4.62,4.0
W00656,S002,2024-10-16,11.86,8.22,2.87,0
W00657,S002,2024-10-17,19.86,3.71,2.63,0.29
W00658,S002,2024-10-18,5.82,3.25,4.62,0.75
W00659,S002,2024-10-19,13.05,2.8,2.57,0
W00660,S002,2024-10-20,20.85,2.62,2.79,7.57
W00661,S002,2024-10-21,8.6,5.32,3.83,4.79
W00662,S002,2024-10-22,16.08,5.97,3.29,3.62
W00663,S002,2024-10-23,13.83,4.27,4.72,1.91
W00664,S002,2024-10-24,13.0,7.76,2.74,0
W00665,S002,2024-10-25,23.84,2.56,4.69,4.33
W00666,S002,2024-10-26,15.2,5.67,4.24,1.11
W00667,S002,2024-10-27,21.51,5.33,1.75,1.64
W00668,S002,2024-10-28,3.62,1,3.1,1.52
W00669,S002,2024-10-29,14.73,5.65,3.79,0
W00670,S002,2024-10-30,18.88,5.31,3.51,4.49
W00671,S002,2024-10-31,15.71,6.22,3.18,2.9
W00672,S002,2024-11-01,10.31,4.54,2.36,3.16
W00673,S002,2024-11-02,4.16,4.79,0.89,3.32
W00674,S002,2024-11-03,4.76,5.15,2.01,0
W00675,S002,2024-11-04,12.15,3.48,1.6,4.26
W00676,S002,2024-11-05,19.78,4.8,2.36,6.09
W00677,S002,2024-11-06,7.33,3.59,0.84,0
W00678,S002,2024-11-07,5.87,3.56,1.96,1.94
W00679,S002,2024-11-08,6.44,7.5,2.43,0
W00680,S002,2024-11-09,8.66,1.84,2.26,5.32
W00681,S002,2024-11-10,8.25,7.56,2.55,6.26
W00682,S002,2024-11-11,0.8,3.25,0.78,2.75
W00683,S002,2024-11-12,2.02,1.58,1.0,11.53
W00684,S002,2024-11-13,14.95,2.1,1.73,1.76
W00685,S002,2024-11-14,11.17,1.86,1.48,0
W00686,S002,2024-11-15,8.2,3.7,2.0,4.82
W00687,S002,2024-11-16,7.31,3.39,3.7,0.93
W00688,S002,2024-11-17,7.74,4.84,2.34,6.13
W00689,S002,2024-11-18,8.82,6.99,3.87,0
W00690,S002,2024-11-19,5.59,5.34,3.61,0
W00691,S002,2024-11-20,14.85,5.33,2.77,1.06
W00692,S002,2024-11-21,7.02,4.57,1.03,0.19
W00693,S002,2024-11-22,12.43,5.04,3.38,4.2
W00694,S002,2024-11-23,2.36,4.35,1.7,0.58
W00695,S002,2024-11-24,6.98,5.84,2.01,0
W00696,S002,2024-11-25,6.13,4.61,3.36,6.07
W00697,S002,2024-11-26,9.45,5.39,1.87,4.19
W00698,S002,2024-11-27,6.21,8.58,3.52,0
W00699,S002,2024-11-28,10.63,4.27,1.86,0.93
W00700,S002,2024-11-29,0.46,8.85,1.13,2.91
W00701,S002,2024-11-30,1.95,5.63,2.21,0
W00702,S002,2024-12-01,-1.32,7.46,1.32,5.4
W00703,S002,2024-12-02,7.05,3.92,3.43,1.08
W00704,S002,2024-12-03,7.73,5.72,3.4,0
W00705,S002,2024-12-04,2.32,6.64,1.3,1.7
W00706,S002,2024-12-05,0.19,6.87,1.81,1.49
W00707,S002,2024-12-06,4.7,4.31,3.11,0
W00708,S002,2024-12-07,6.86,4.4,1.44,0.08
W00709,S002,2024-12-08,10.28,5.57,0.79,2.89
W00710,S002,2024-12-09,3.47,3.72,1.84,3.52
W00711,S002,2024-12-10,2.59,5.4,1.41,4.98
W00712,S002,2024-12-11,4.65,5.72,1.53,2.28
W00713,S002,2024-12-12,-0.4,7.32,0.1,0.22
W00714,S002,2024-12-13,21.02,4.52,0.72,0
W00715,S002,2024-12-14,2.65,7.06,1.05,0
W00716,S002,2024-12-15,5.04,8.3,2.37,0
W00717,S002,2024-12-16,9.24,6.22,1.5,1.31
W00718,S002,2024-12-17,12.93,5.84,1.21,3.52
W00719,S002,2024-12-18,16.38,4.91,2.22,0
W00720,S002,2024-12-19,5.51,4.13,4.12,4.21
W00721,S002,2024-12-20,12.31,7.34,2.63,4.05
W00722,S002,2024-12-21,2.21,5.06,2.72,0.37
W00723,S002,2024-12-22,4.23,6.42,3.68,7.1
W00724,S002,2024-12-23,6.1,3.23,2.35,0
W00725,S002,2024-12-24,15.16,4.01,3.33,0
W00726,S002,2024-12-25,2.96,7.24,2.17,1.57
W00727,S002,2024-12-26,-4.33,4.78,1.82,5.18
W00728,S002,2024-12-27,1.9,2.16,2.86,0.04
W00729,S002,2024-12-28,15.14,6.07,0.84,1.36
W00730,S002,2024-12-29,14.97,4.97,1.73,0
W00731,S002,2024-12-30,4.84,2.4,1.12,0
W00732,S002,2024-12-31,2.76,3.19,2.63,8.3
W00733,S003,2024-01-01,8.73,11.19,2.4,7.27
W00734,S003,2024-01-02,12.77,6.9,3.2,0
W00735,S003,2024-01-03,3.83,8.63,3.76,4.35
W00736,S003,2024-01-04,8.03,8.63,2.0,12.95
W00737,S003,2024-01-05,1.9,10.14,1.65,3.36
W00738,S003,2024-01-06,10.98,7.16,2.95,0
W00739,S003,2024-01-07,6.02,9.39,2.23,6.0
W00740,S003,2024-01-08,10.77,7.18,2.52,3.75
W00741,S003,2024-01-09,15.23,8.31,2.28,2.02
W00742,S003,2024-01-10,5.19,9.29,1.22,1.49
W00743,S003,2024-01-11,8.49,8.47,1.56,0.7
W00744,S003,2024-01-12,11.68,7.4,1.61,1.28
W00745,S003,2024-01-13,14.03,8.17,3.22,9.07
W00746,S003,2024-01-14,6.94,10.2,2.79,0
W00747,S003,2024-01-15,11.57,9.93,2.54,0
W00748,S003,2024-01-16,16.61,5.61,2.82,3.52
W00749,S003,2024-01-17,9.25,7.6,3.61,6.3
W00750,S003,2024-01-18,10.21,11.13,2.69,0
W00751,S003,2024-01-19,14.89,7.91,2.54,3.48
W00752,S003,2024-01-20,10.92,10.79,2.71,0
W00753,S003,2024-01-21,8.05,11.1,1.53,0
W00754,S003,2024-01-22,14.18,10.11,1.72,10.12
W00755,S003,2024-01-23,15.12,8.77,2.35,0
W00756,S003,2024-01-24,-1.0,9.73,2.57,7.07
W00757,S003,2024-01-25,7.46,6.84,2.03,6.44
W00758,S003,2024-01-26,10.35,8.94,3.73,8.0
W00759,S003,2024-01-27,1.88,7.81,0.82,0.8
W00760,S003,2024-01-28,6.63,11.53,2.23,3.17
W00761,S003,2024-01-29,4.36,3.95,3.76,6.93
W00762,S003,2024-01-30,7.02,3.55,2.3,0
W00763,S003,2024-01-31,5.01,3.09,2.04,5.11
W00764,S003,2024-02-01,10.54,7.07,1.13,6.97
W00765,S003,2024-02-02,4.1,8.89,1.81,0
W00766,S003,2024-02-03,-0.41,8.48,2.69,7.22
W00767,S003,2024-02-04,2.69,9.14,1.96,3.65
W00768,S003,2024-02-05,5.9,8.82,3.21,0
W00769,S003,2024-02-06,5.32,7.59,2.83,2.78
W00770,S003,2024-02-07,14.43,6.95,2.72,6.86
W00771,S003,2024-02-08,-2.11,10.43,1.51,2.39
W00772,S003,2024-02-09,-2.74,8.72,2.54,0
W00773,S003,2024-02-10,1.38,8.31,3.04,4.81
W00774,S003,2024-02-11,-6.43,8.24,2.44,4.39
W00775,S003,2024-02-12,1.42,5.41,1.71,0
W00776,S003,2024-02-13,7.36,12.04,2.09,6.48
W00777,S003,2024-02-14,12.59,10.1,1.49,0.7
W00778,S003,2024-02-15,16.4,9.55,2.08,0
W00779,S003,2024-02-16,2.66,8.96,1.18,0
W00780,S003,2024-02-17,4.42,6.75,2.73,2.37
W00781,S003,2024-02-18,1.6,6.62,2.24,5.56
W00782,S003,2024-02-19,11.46,4.51,2.72,0
W00783,S003,2024-02-20,3.71,11.11,1.44,3.34
W00784,S003,2024-02-21,4.6,10.83,2.19,0
W00785,S003,2024-02-22,15.71,9.74,2.35,5.19
W00786,S003,2024-02-23,5.98,7.98,1.56,0
W00787,S003,2024-02-24,5.89,9.54,1.27,1.83
W00788,S003,2024-02-25,4.2,8.59,2.23,3.37
W00789,S003,2024-02-26,17.46,11.92,2.08,1.92
W00790,S003,2024-02-27,9.29,8.69,1.78,9.59
W00791,S003,2024-02-28,7.47,6.82,3.04,2.38
W00792,S003,2024-02-29,8.97,11.57,1.73,7.48
W00793,S003,2024-03-01,13.75,5.23,2.54,6.52
W00794,S003,2024-03-02,23.89,10.14,1.99,1.26
W00795,S003,2024-03-03,19.25,7.95,1.69,10.89
W00796,S003,2024-03-04,19.15,6.36,2.25,1.68
W00797,S003,2024-03-05,14.05,5.94,2.36,0
W00798,S003,2024-03-06,6.89,10.68,2.23,0.23
W00799,S003,2024-03-07,20.25,5.66,1.98,6.32
W00800,S003,2024-03-08,16.05,3.62,1.51,3.3
W00801,S003,2024-03-09,6.05,6.4,2.71,0
W00802,S003,2024-03-10,22.07,7.94,3.03,0
W00803,S003,2024-03-11,18.02,5.84,3.35,5.5
W00804,S003,2024-03-12,11.22,8.54,1.46,2.79
W00805,S003,2024-03-13,8.45,9.7,2.37,10.09
W00806,S003,2024-03-14,14.71,7.73,2.64,6.73
W00807,S003,2024-03-15,17.41,7.53,0.72,5.33
W00808,S003,2024-03-16,17.43,8.01,2.36,2.82
W00809,S003,2024-03-17,13.21,8.46,0.9,6.38
W00810,S003,2024-03-18,15.5,10.19,1.74,0
W00811,S003,2024-03-19,14.29,5.73,0.49,6.26
W00812,S003,2024-03-20,15.55,3.37,2.14,0
W00813,S003,2024-03-21,14.77,10.41,1.61,3.24
W00814,S003,2024-03-22,22.14,8.77,2.87,4.0
W00815,S003,2024-03-23,18.95,9.66,2.47,3.67
W00816,S003,2024-03-24,22.53,10.95,2.63,0
W00817,S003,2024-03-25,17.58,7.38,2.04,0.43
W00818,S003,2024-03-26,23.88,10.52,2.76,0
W00819,S003,2024-03-27,12.56,7.03,3.98,3.46
W00820,S003,2024-03-28,15.81,11.06,3.45,6.72
W00821,S003,2024-03-29,11.85,8.2,2.05,0
W00822,S003,2024-03-30,23.8,9.47,2.64,2.66
W00823,S003,2024-03-31,8.6,9.25,1.65,2.39
W00824,S003,2024-04-01,20.22,8.12,3.83,4.7
W00825,S003,2024-04-02,15.38,11.27,2.7,0.03
W00826,S003,2024-04-03,10.79,8.01,4.46,0
W00827,S003,2024-04-04,24.97,7.46,1.99,3.71
W00828,S003,2024-04-05,25.91,6.62,1.63,2.25
W00829,S003,2024-04-06,13.32,14.86,3.12,1.34
W00830,S003,2024-04-07,19.72,10.53,2.22,0
W00831,S003,2024-04-08,14.41,9.91,1.62,7.05
W00832,S003,2024-04-09,10.03,7.8,3.06,0
W00833,S003,2024-04-10,11.54,10.5,3.01,10.09
W00834,S003,2024-04-11,18.25,6.43,1.17,2.97
W00835,S003,2024-04-12,24.12,8.07,1.39,0
W00836,S003,2024-04-13,13.26,5.4,0.14,7.91
W00837,S003,2024-04-14,12.99,6.45,2.48,2.84
W00838,S003,2024-04-15,14.4,7.93,2.78,5.16
W00839,S003,2024-04-16,17.26,7.91,2.2,0
W00840,S003,2024-04-17,13.77,14.06,1.23,0
W00841,S003,2024-04-18,11.22,11.21,1.8,6.41
W00842,S003,2024-04-19,17.12,10.17,2.49,11.98
W00843,S003,2024-04-20,19.14,8.17,2.47,0
W00844,S003,2024-04-21,20.12,7.33,2.43,3.98
W00845,S003,2024-04-22,16.74,9.12,2.18,6.24
W00846,S003,2024-04-23,10.05,9.53,1.17,2.34
W00847,S003,2024-04-24,21.51,8.79,1.69,0
W00848,S003,2024-04-25,16.4,9.74,2.24,0.82
W00849,S003,2024-04-26,9.22,12.08,2.21,0
W00850,S003,2024-04-27,10.17,9.89,1.49,13.06
W00851,S003,2024-04-28,15.43,11.62,2.01,5.21
W00852,S003,2024-04-29,20.09,6.78,0.97,6.43
W00853,S003,2024-04-30,15.13,11.72,1.14,0.07
W00854,S003,2024-05-01,17.76,10.05,1.88,0.15
W00855,S003,2024-05-02,19.77,10.17,2.84,0
W00856,S003,2024-05-03,17.56,8.63,1.5,2.12
W00857,S003,2024-05-04,15.92,5.84,3.02,0
W00858,S003,2024-05-05,21.36,12.05,1.69,7.65
W00859,S003,2024-05-06,11.32,4.17,2.68,1.37
W00860,S003,2024-05-07,18.97,7.22,1.51,3.77
W00861,S003,2024-05-08,16.03,7.39,2.55,0.27
W00862,S003,2024-05-09,23.32,4.96,2.12,7.1
W00863,S003,2024-05-10,7.73,10.35,2.29,0
W00864,S003,2024-05-11,18.07,7.29,2.08,0
W00865,S003,2024-05-12,10.49,6.99,2.58,0
W00866,S003,2024-05-13,12.74,8.46,2.82,1.22
W00867,S003,2024-05-14,17.75,9.56,3.1,8.04
W00868,S003,2024-05-15,8.07,7.02,2.62,0
W00869,S003,2024-05-16,11.11,7.97,3.25,0
W00870,S003,2024-05-17,17.24,4.6,2.41,4.09
W00871,S003,2024-05-18,9.38,9.96,3.0,0.32
W00872,S003,2024-05-19,15.83,9.64,1.68,2.87
W00873,S003,2024-05-20,12.73,11.88,0.76,2.82
W00874,S003,2024-05-21,15.42,12.0,1.66,12.76
W00875,S003,2024-05-22,14.93,6.51,1.53,0
W00876,S003,2024-05-23,15.64,7.79,2.38,8.71
W00877,S003,2024-05-24,14.23,9.12,2.16,4.97
W00878,S003,2024-05-25,21.4,5.94,1.96,10.76
W00879,S003,2024-05-26,17.28,7.19,2.42,5.49
W00880,S003,2024-05-27,16.9,11.51,1.88,0
W00881,S003,2024-05-28,14.66,6.56,3.16,0
W00882,S003,2024-05-29,22.54,8.91,1.59,0
W00883,S003,2024-05-30,14.26,4.66,3.28,0
W00884,S003,2024-05-31,20.03,4.69,0.84,0
W00885,S003,2024-06-01,23.24,8.62,2.0,0
W00886,S003,2024-06-02,9.18,13.32,1.87,0
W00887,S003,2024-06-03,16.51,8.3,2.95,0
W00888,S003,2024-06-04,11.99,5.77,1.66,5.98
W00889,S003,2024-06-05,9.8,10.07,2.47,0.0
W00890,S003,2024-06-06,22.27,10.14,0.88,3.14
W00891,S003,2024-06-07,12.36,11.86,0.86,13.03
W00892,S003,2024-06-08,15.66,7.72,2.23,2.03
W00893,S003,2024-06-09,16.48,5.26,2.74,14.58
W00894,S003,2024-06-10,17.43,7.08,0.87,6.41
W00895,S003,2024-06-11,18.02,10.49,2.43,1.47
W00896,S003,2024-06-12,15.09,10.51,1.9,0.06
W00897,S003,2024-06-13,13.27,10.87,2.14,1.67
W00898,S003,2024-06-14,14.02,5.92,2.21,0
W00899,S003,2024-06-15,20.23,10.83,1.98,0
W00900,S003,2024-06-16,19.54,7.22,1.75,5.54
W00901,S003,2024-06-17,18.12,6.71,2.38,0
W00902,S003,2024-06-18,10.09,9.63,2.57,0
W00903,S003,2024-06-19,19.22,2.78,2.52,0
W00904,S003,2024-06-20,16.2,12.87,1.99,0
W00905,S003,2024-06-21,12.23,14.32,1.69,3.64
W00906,S003,2024-06-22,19.88,9.7,2.37,4.96
W00907,S003,2024-06-23,12.88,7.22,2.16,3.43
W00908,S003,2024-06-24,17.39,7.26,2.98,6.97
W00909,S003,2024-06-25,12.17,9.58,1.56,11.76
W00910,S003,2024-06-26,16.35,8.58,2.49,0
W00911,S003,2024-06-27,15.16,10.12,2.01,2.51
W00912,S003,2024-06-28,7.73,10.27,1.71,2.58
W00913,S003,2024-06-29,8.82,4.96,2.2,0
W00914,S003,2024-06-30,17.55,8.66,1.57,0
W00915,S003,2024-07-01,13.18,7.62,1.39,2.92
W00916,S003,2024-07-02,16.67,7.66,3.26,3.96
W00917,S003,2024-07-03,15.18,14.37,1.88,0
W00918,S003,2024-07-04,20.89,10.84,2.49,1.24
W00919,S003,2024-07-05,10.53,11.46,2.61,0
W00920,S003,2024-07-06,19.21,8.79,2.22,7.72
W00921,S003,2024-07-07,12.48,6.62,1.46,4.5
W00922,S003,2024-07-08,16.68,7.81,1.97,6.26
W00923,S003,2024-07-09,13.23,9.18,2.35,1.78
W00924,S003,2024-07-10,17.88,8.89,4.12,4.58
W00925,S003,2024-07-11,25.6,11.49,1.62,0
W00926,S003,2024-07-12,12.47,6.28,3.98,0
W00927,S003,2024-07-13,14.66,11.19,1.1,0
W00928,S003,2024-07-14,20.15,7.06,2.53,0
W00929,S003,2024-07-15,21.99,9.89,1.81,6.22
W00930,S003,2024-07-16,22.83,4.65,2.81,10.67
W00931,S003,2024-07-17,19.2,10.97,1.45,0.43
W00932,S003,2024-07-18,13.24,8.56,2.53,6.55
W00933,S003,2024-07-19,13.93,5.17,2.51,1.01
W00934,S003,2024-07-20,21.84,9.6,2.68,6.06
W00935,S003,2024-07-21,17.9,7.39,3.2,0
W00936,S003,2024-07-22,16.45,9.77,2.6,3.87
W00937,S003,2024-07-23,12.89,7.08,2.04,6.39
W00938,S003,2024-07-24,21.41,9.54,1.68,4.12
W00939,S003,2024-07-25,10.62,5.47,1.7,9.74
W00940,S003,2024-07-26,17.74,8.35,0.93,0
W00941,S003,2024-07-27,17.92,11.84,2.56,2.69
W00942,S003,2024-07-28,15.84,7.38,1.17,0.78
W00943,S003,2024-07-29,18.09,11.88,1.34,5.01
W00944,S003,2024-07-30,8.68,9.1,1.77,0
